kernel,mode,size_factor,working_set_bytes,bytes_accessed,iterations,median_ms,min_ms,max_ms,bw_GBps
seq_stream,device,0.5,16834658304,16834658304,5,15.695,15.557,15.774,1072.628
rand_stream,device,0.5,16834658304,20201589960,5,110.993,110.849,111.028,182.007
pointer_chase,device,0.5,16834658304,16106126400,5,14.815,14.812,14.835,1087.152
seq_stream,uvm,0.5,16834658304,16834658304,5,14.668,14.649,14.697,1147.736
rand_stream,uvm,0.5,16834658304,20201589960,5,109.734,109.664,109.753,184.095
pointer_chase,uvm,0.5,16834658304,16106126400,5,14.684,14.666,14.687,1096.856
