kernel,mode,size_factor,working_set_bytes,bytes_accessed,iterations,median_ms,min_ms,max_ms,bw_GBps
seq_stream,device,0.25,8417329152,8417329152,5,7.527,7.499,7.603,1118.241
seq_stream,uvm,0.25,8417329152,8417329152,5,7.208,7.186,7.214,1167.797
seq_stream,uvm_prefetch,0.25,8417329152,8417329152,5,7.613,7.548,7.709,1105.63
rand_stream,device,0.25,8417329152,10100794980,5,54.789,54.753,54.809,184.36
rand_stream,uvm,0.25,8417329152,10100794980,5,54.571,54.56,54.606,185.095
rand_stream,uvm_prefetch,0.25,8417329152,10100794980,5,54.602,54.502,54.682,184.991
pointer_chase,device,0.25,8417329152,16106126400,5,14.816,14.812,14.816,1087.088
pointer_chase,uvm,0.25,8417329152,16106126400,5,14.649,14.647,14.651,1099.482
pointer_chase,uvm_prefetch,0.25,8417329152,16106126400,5,14.631,14.63,14.635,1100.795
